이름,종류,이미지,완료 날짜,유실 날짜,성별,견종/묘종,색상,몸무게,도,"시, 군, 구","동, 읍, 면",세부 주소,마지막 제보 지역,중성화,인식칩,"하네스, 목줄, 옷",추가 이미지1,추가 이미지2,그 외 세부 특징,추가 이미지3,추가 이미지4,,,,,,,,,,,,,
콩새,개,콩새.jpg,2024.05.17,2024.05.15,수,,,,,,"서울시 금천구",,,,,,,,,,,,,,,,,,,,,,,
루루,개,루루.jpg,2024.05.22,2024.04.28,암,,,,,"경기도","용인시",,,,,,,,,,,,,,,,,,,,,,,
몽실,개,몽실.jpg,2024.05.22,2024.05.22,수,,,,,"인천","인천시 서구",,,,,,,,,,,,,,,,,,,,,,,
마루,개,마루.jpg,2024. 5. 23,2024. 5. 8,수,,,,,"경기도","광주시",,,,,,,,,,,,,,,,,,,,,,,
진숙이,개,진숙이.jpg,2024.05.26,2024.04.10,암,진도,크림색,,,"서울","서울시 관악구",,,,,,,,,,,,,,,,,,,,,,,
맑음이,개,맑음이.jpg,2024.06.05,2024.05.28,암,말라뮤트믹스,"검은색
회색
흰색",,,"경기도","평택시",,,,,,,,,,,,,,,,,,,,,,,
가정이,개,가정이.jpg,2024.06.11,2024.05.31,수,진도,흰색,,,"경기도","시흥시",,,,,,,,,,,,,,,,,,,,,,,
쪼코,개,쪼코.jpg,2024.06.12,2024.06.05,암,푸들,갈색,5kg,경기도,"안성시","대덕면 신령리",안성롯데캐슬,"아파트 후문 아래쪽
(24.6.6.)",X,없음,,쪼코1.jpg,쪼코2.jpg,"짧은 꼬리
코 아래 사마귀
배에 지방종",쪼코3.jpg,쪼코4.jpg,,,,,,,,,,,,,
포동,개,포동.jpg,2024.06.13,2024.06.12,수,시바,갈색,,경기도,"구리시","토평동",장자호수공원,"용마터널
(24. 6. 12 7PM)",,,"주황색 목줄",포동1.jpg,포동2.jpg,,포동3.jpg,포동4.jpg,,,,,,,,,,,,,
태양이,개,태양이.jpg,2024.06.16,2024.06.08,수,믹스,"검은색
크림색",11kg,경기도,"수원시 영통구","원천동",영통현대테라타워,"영덕초 건너 영흥숲
(24.6.14. 3PM)
-> 포획 진행 중",,,,태양이1.jpg,태양이2.jpg,접힌 귀,태양이3.jpg,,,,,,,,,,,,,,
뽀뽀,개,뽀뽀.jpg,2024.06.20,2024.06.18,암,비숑프리제,흰색,8kg,경기도,"수원시 팔달구","지동","신세계마트
못골공원",,X,내장칩,,뽀뽀1.png,뽀뽀2.png,"등부분 점 얼룩덜룩
미니 비숑 크기 작음",,,,,,,,,,,,,,,
마루 (경기 광주),개,마루_광주.jpg,2024.06.22,2024.06.18,수,리트리버 믹스,베이지색,20kg,경기도,"광주시","오포읍 능평동","베르빌아파트
~능원초 사이",,X,없음,"빨간색 목줄
삼각형 손잡이 달린 흰색 리드줄",마루_광주1.jpg,마루_광주2.png,,마루_광주3.png,마루_광주4.jpg,,,,,,,,,,,,,
