이름,이미지,URL,유실 날짜,성별,견종/묘종,색상,몸무게,도,"시, 군, 구","동, 읍, 면",세부 주소,마지막 제보 지역,중성화,인식칩,"하네스, 목줄, 옷",전신 사진,얼굴 사진,그 외 세부 특징,,,,,,,,,,,,,,
마루,마루.png,https://open.kakao.com/o/gbqJqXtg,2024.05.15,수,진도믹스,흰색,20kg,서울/경기/인천,"용인시 처인구","삼가동",석성산,"[추정] 백남준아트센터
(24.6.10.)",X,없음,"분홍색 입마개
검은색 목줄
",,,"노란 쫑긋 귀
콧잔등 주근깨
눈물자국",,,,,,,,,,,,,,
만복이,만복이.png,https://open.kakao.com/o/gs7Gjyvg,2024.05.28,수,푸들,갈색,6kg,서울/경기/인천,"포천시","가산면 방축리",화봉산 화산서원,,O,내장칩,"은색 이름표 목걸이",,,,,,,,,,,,,,,,,
봉순이,봉순이.png,https://open.kakao.com/o/glgGudwg,2024.06.07,암,믹스,검은색,,충청/대전/세종,"보령시(대천)","대천동",해태로 6,,,,,,,"날씬한 체형
코 위 회색털
엉덩이 털 복실
가슴~배 흰털
긴 발톱",,,,,,,,,,,,,,
태양이,태양이.png,https://open.kakao.com/o/g8gU0dwg,2024.06.08,수,믹스,"검은색
크림색",11kg,서울/경기/인천,"수원시 영통구","원천동",영통현대테라타워,"영덕초 건너 영흥숲
(24.6.14. 3PM)
-> 포획 진행 중",,,,,,접힌 귀,,,,,,,,,,,,,,
보름이,보름이.png,https://open.kakao.com/o/g1sbkaxg,2024.06.12,암,푸들,갈색,4kg,서울/경기/인천,"서울시 구로구","개봉2동",화목교회,,O,없음,"마른체형
비틀거림
입 주위, 눈가 흰털
백내장, 신부전",,,,,,,,,,,,,,,,,
아리,아리_광주.jpg,https://open.kakao.com/o/gsESHrxg,2024.06.14,암,믹스,"흰색
베이지색",9kg,전라/광주,"광주시 서구","치평동",상무시민공원 에너지파크,,X,내장칩,"주황색 목줄
주황색 리드줄",,,"뾰족한 얼굴, 귀
양쪽 앞다리 상처들
오른쪽 다리 검게 변함",,,,,,,,,,,,,,
별이,별이.jpg,https://open.kakao.com/o/gX298Rxg,2024.06.15,암,말티즈,흰색,5kg,서울/경기/인천,"수원시 팔달구","인계동",화성갈비,수원 남문 하나은행,,내장칩,,,,"말린 꼬리
등에 점박이
털  부분적으로 덜 밀려있음",,,,,,,,,,,,,,
미소 (금비),미소.jpg,https://open.kakao.com/o/gU9bK9xg,2024.06.17,암,스피츠,흰색,5kg,서울/경기/인천,"서울시 성북구","안암동1가","안암래미안
개운산 진입로쪽",,O,내장칩,,,,"넓은 미간
쫑긋 귀
등~엉덩이쪽 털 안난 부분",,,,,,,,,,,,,,
마루 (경기 광주),마루(광주).png,https://open.kakao.com/o/g3R8ioyg,2024.06.18,수,리트리버 믹스,베이지색,20kg,서울/경기/인천,"경기 광주시","오포읍 능평동","베르빌아파트
~능원초 사이",,X,없음,"빨간색 목줄
삼각형 손잡이 달린 흰색 리드줄",,,,,,,,,,,,,,,,,
레오,레오.jpg,https://open.kakao.com/o/geJmowyg,2024.06.20,수,믹스,갈색,8kg,전라/광주,"광주시 광산구","수완동 ",윤슬의아침4차,,O,내장칩,,,,"여우같은 생김새
털갈이중",,,,,,,,,,,,,,
후루,후추.png,https://open.kakao.com/o/g3R8ioyg,2024.06.20,암,그레이하운드,회색,4kg,서울/경기/인천,"수원시 영통구","매탄동",머내생태공원,,,외장칩,"녹색 목걸이에 인식표
파란색 손잡이 자동리드줄",,,"귀끝 접혀있음
뒷 발가락 흰 털
뒷 목에 땜빵",,,,,,,,,,,,,,
